Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.30,16.80,17.40,18.00,20.80,23.80,26.00,26.60,25.90,23.80,20.50,18.40
1902,17.10,16.80,17.30,18.20,20.90,23.80,26.00,26.50,25.80,23.90,20.90,18.50
1903,17.30,17.20,17.60,18.30,20.90,23.70,26.00,26.60,25.80,23.80,20.50,18.20
1904,17.10,16.90,17.30,18.20,20.90,23.80,25.90,26.50,25.80,23.80,20.60,18.30
1905,17.10,16.70,17.40,18.30,21.00,23.80,26.00,26.50,25.90,23.90,20.70,18.50
1906,17.50,17.10,17.30,18.30,20.90,23.80,25.90,26.70,26.10,23.90,20.70,18.50
1907,17.50,17.00,17.50,18.10,20.80,23.70,26.00,26.60,26.00,23.70,20.70,18.50
1908,17.40,17.00,17.50,18.40,21.00,23.80,26.00,26.60,25.80,23.90,20.80,18.60
1909,17.50,17.30,17.40,18.40,20.90,23.90,25.90,26.50,25.80,23.80,20.90,18.30
1910,17.40,17.10,17.60,18.40,20.90,23.80,26.00,26.60,25.90,24.00,20.60,18.20
1911,17.40,17.20,17.30,18.20,20.90,23.90,26.00,26.60,26.00,23.90,20.70,18.60
1912,17.20,17.00,17.40,18.40,21.00,23.80,26.00,26.60,26.00,23.90,20.70,18.60
1913,17.70,17.20,17.60,18.30,20.90,23.80,26.00,26.60,25.80,23.90,20.70,18.50
1914,17.40,17.10,17.20,18.30,20.90,23.80,25.90,26.60,25.80,23.90,20.70,18.40
1915,17.40,17.20,17.10,18.30,20.90,23.70,26.00,26.60,26.00,24.00,20.80,18.30
1916,17.60,17.10,17.20,18.20,21.00,23.80,26.00,26.60,25.80,23.90,20.80,18.40
1917,17.40,17.00,17.40,18.30,20.80,23.80,26.00,26.60,25.80,23.80,20.60,18.10
1918,17.00,17.10,17.40,18.20,21.00,23.70,25.90,26.60,25.80,24.00,20.70,18.60
1919,17.40,17.10,17.40,18.30,20.90,23.70,26.00,26.60,25.90,24.20,20.80,18.30
1920,17.20,17.00,17.30,18.20,20.70,23.70,25.90,26.60,25.90,23.90,20.80,18.50
1921,17.40,17.20,17.70,18.40,20.80,23.80,26.00,26.50,26.00,23.90,20.90,18.50
1922,17.30,17.20,17.50,18.40,20.90,23.80,26.00,26.50,25.90,23.90,20.80,18.60
