Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1902,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1903,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1904,25.90,26.02,26.59,27.00,27.13,26.93,26.66,26.72,26.65,26.52,26.37,26.17
1905,25.90,26.02,26.62,27.04,27.16,26.96,26.63,26.75,26.65,26.55,26.37,26.20
1906,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.62,26.55,26.40,26.20
1907,25.90,26.05,26.59,27.04,27.16,26.96,26.66,26.72,26.62,26.55,26.40,26.20
1908,25.90,26.05,26.62,27.04,27.13,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1909,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.17
1910,25.90,26.05,26.62,27.00,27.13,26.96,26.66,26.75,26.62,26.55,26.40,26.20
1911,25.90,26.05,26.62,27.00,27.13,26.93,26.66,26.75,26.65,26.55,26.40,26.20
1912,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1913,25.90,26.05,26.62,27.00,27.13,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1914,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1915,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1916,25.90,26.05,26.62,27.04,27.13,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1917,25.90,26.05,26.62,27.04,27.13,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1918,25.87,26.02,26.59,27.00,27.16,26.93,26.66,26.75,26.65,26.55,26.40,26.20
1919,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1920,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1921,25.90,26.05,26.62,27.00,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1922,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1923,25.90,26.05,26.59,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1924,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1925,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1926,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1927,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1928,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1929,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1930,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1931,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1932,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1933,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1934,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1935,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1936,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1937,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1938,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1939,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1940,25.90,25.45,26.42,27.14,27.16,26.96,27.13,26.85,26.95,26.76,26.50,26.50
1941,26.80,26.85,27.32,27.94,27.96,27.76,27.16,27.65,26.95,27.15,26.40,26.20
1942,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1943,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1944,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1945,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1946,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1947,25.94,26.05,26.62,27.04,27.16,26.96,26.70,26.79,26.69,26.55,26.40,26.20
1948,25.90,26.05,26.59,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.37,26.20
1949,25.90,26.05,26.62,27.04,27.16,26.96,26.66,26.75,26.65,26.55,26.40,26.20
1950,26.61,25.98,27.02,27.15,27.16,27.46,27.16,26.95,26.95,26.56,26.67,26.57
1951,26.73,26.46,26.84,27.25,27.43,27.28,26.63,27.22,26.78,26.75,27.13,26.71
1952,26.81,26.88,26.89,27.50,27.19,27.28,26.86,26.96,26.62,26.68,26.41,26.27
1953,26.51,26.46,27.30,27.65,27.43,27.53,26.68,27.06,26.82,26.82,26.67,26.68
1954,26.78,26.48,26.95,27.25,27.29,26.76,26.63,26.96,26.66,26.32,26.38,26.38
1955,26.38,26.02,26.29,27.05,27.29,26.78,26.68,26.75,26.66,26.98,26.53,26.28
1956,25.91,26.25,26.64,27.22,26.94,26.69,26.33,26.56,26.62,26.25,26.21,25.90
1957,25.81,25.82,26.82,27.15,27.36,27.36,27.06,27.18,26.92,26.96,26.73,27.03
1958,26.81,26.62,27.24,27.40,27.48,27.39,27.19,26.75,26.95,26.72,26.21,26.41
1959,26.31,26.46,26.65,27.14,27.06,26.76,26.66,26.72,26.45,26.65,26.41,26.41
1960,26.31,25.96,26.64,27.25,27.28,27.03,26.66,27.52,26.65,26.75,26.47,26.47
1961,25.60,25.95,26.62,26.79,27.26,26.66,26.56,26.55,26.35,26.15,26.60,26.10
1962,25.70,25.55,26.19,26.64,27.06,26.56,26.76,26.05,26.45,26.60,26.20,25.90
1963,24.80,25.05,25.82,26.54,26.86,27.19,26.66,26.42,26.88,26.35,26.70,26.20
1964,26.60,26.28,26.62,26.94,27.09,26.49,26.16,26.45,26.25,26.05,25.80,25.40
1965,24.80,25.45,25.92,26.44,26.66,26.66,26.46,26.05,26.45,26.45,26.80,26.30
1966,26.30,26.15,26.72,27.19,27.36,26.56,26.29,26.34,26.75,26.25,26.40,26.30
1967,25.80,25.74,26.12,26.64,26.86,26.86,26.46,26.85,26.35,26.15,26.10,25.93
1968,25.40,25.35,26.12,26.54,26.76,26.76,26.36,26.62,26.65,26.25,26.30,26.23
1969,26.20,26.05,26.62,27.20,27.26,26.96,26.46,26.15,26.65,26.35,26.10,25.90
1970,25.90,26.02,26.82,26.94,26.86,26.76,26.36,26.35,26.35,26.35,26.10,26.00
1971,25.80,25.55,26.42,26.85,27.26,26.86,26.76,26.25,26.75,26.55,26.15,26.10
1972,25.40,26.05,26.22,26.84,27.36,26.99,27.56,27.05,26.95,27.05,27.00,27.10
1973,26.70,26.92,27.32,27.54,27.26,27.26,27.06,26.86,26.45,27.05,26.50,26.00
1974,25.50,25.65,26.32,26.94,27.06,26.86,26.56,27.15,26.45,26.50,26.67,26.31
1975,26.20,26.05,26.42,27.30,26.96,26.86,26.36,27.15,26.35,26.55,26.30,26.10
1976,24.97,25.35,26.16,26.34,26.88,26.31,26.36,26.25,26.75,26.45,26.40,26.17
1977,25.79,25.32,26.12,26.84,26.90,26.66,26.66,26.55,27.05,26.35,26.30,26.10
1978,25.80,25.95,26.72,26.94,27.16,26.79,26.36,26.95,26.55,26.65,26.14,26.30
1979,26.09,26.45,26.72,27.04,27.38,26.80,26.56,27.15,26.25,26.55,26.37,26.03
1980,26.00,26.05,26.62,26.84,27.56,26.76,26.76,26.45,26.85,26.85,26.40,26.00
1981,25.70,26.25,27.02,27.34,27.36,27.46,26.86,27.65,26.85,26.85,26.50,26.30
1982,26.10,26.35,27.02,27.24,27.26,27.06,27.16,26.92,27.05,26.45,26.93,27.00
1983,26.80,27.25,27.82,28.24,27.73,27.46,27.06,27.35,26.85,26.85,26.37,26.04
1984,25.90,25.89,26.62,26.84,26.64,26.76,26.26,27.05,26.29,26.25,26.39,26.29
1985,26.00,26.75,26.82,27.04,27.16,27.26,26.16,26.85,26.39,26.35,26.50,26.24
1986,25.84,26.05,26.50,27.04,27.56,27.06,26.76,26.95,26.75,26.65,26.29,26.50
1987,26.00,26.05,27.31,27.78,27.34,27.65,27.14,26.99,27.25,27.04,27.00,26.50
1988,26.70,26.65,27.32,27.54,27.46,27.26,26.86,26.65,26.75,26.75,26.30,25.60
1989,26.30,25.75,26.32,26.74,26.96,26.76,26.96,27.05,26.85,26.72,26.60,26.40
1990,26.10,26.69,26.82,27.54,27.46,27.36,26.86,27.25,26.95,27.05,26.40,26.57
1991,26.50,26.45,27.22,27.34,27.26,27.76,27.26,27.25,27.15,26.52,26.40,26.40
1992,26.20,26.45,27.32,27.74,27.26,27.06,26.66,27.45,26.95,26.45,26.20,26.20
1993,26.10,26.25,26.72,27.14,27.06,27.36,26.84,27.15,26.65,26.59,26.80,26.60
1994,26.50,26.55,26.60,27.04,27.16,26.96,27.16,26.85,27.25,26.64,26.80,26.63
1995,26.60,26.45,26.82,27.43,27.46,27.36,26.76,26.75,26.95,26.85,26.59,26.30
1996,25.70,25.85,26.92,27.24,27.56,27.06,27.36,26.95,27.15,26.59,26.60,26.20
1997,26.10,26.05,27.14,27.14,27.26,27.56,27.26,28.05,27.25,26.92,27.00,27.20
1998,27.30,27.55,27.75,28.24,28.43,27.56,27.16,27.15,27.45,27.25,26.90,26.60
1999,26.60,26.45,27.02,27.54,26.94,27.36,27.16,27.15,27.15,26.65,26.80,26.50
2000,26.40,26.42,27.12,27.04,27.76,26.81,27.66,27.15,26.95,26.95,26.90,26.90
2001,26.50,26.65,27.12,27.34,27.76,27.06,27.56,27.65,27.15,26.92,26.70,26.60
2002,26.50,26.35,27.16,27.54,27.86,27.36,27.76,27.25,27.05,26.85,26.90,27.30
2003,26.70,26.75,27.02,27.44,27.76,27.16,26.96,27.45,27.15,26.55,26.70,26.20
2004,26.40,26.45,27.22,27.74,27.36,27.46,26.56,27.65,26.65,26.75,26.70,26.40
2005,26.34,26.85,27.02,27.64,27.36,27.33,27.03,27.46,27.35,26.85,26.57,26.40
2006,26.59,26.65,27.12,26.94,26.96,26.76,27.56,27.45,26.85,26.75,27.00,27.10
2007,26.40,26.55,27.12,27.34,27.66,27.06,26.96,27.15,26.76,27.05,26.20,26.40
2008,26.40,25.75,26.30,26.84,27.08,26.76,26.56,27.05,26.95,26.65,26.80,26.60
2009,26.00,26.45,26.72,27.44,27.46,27.56,27.03,27.55,27.55,26.95,26.90,26.70
2010,26.40,27.12,27.62,27.64,27.78,27.16,26.36,26.95,26.95,26.88,26.60,26.23
2011,26.10,25.95,26.42,26.94,27.08,27.26,27.26,27.45,27.28,26.95,27.10,26.70
2012,26.70,26.65,26.92,27.04,27.56,27.46,26.86,27.35,27.35,27.05,27.00,27.20
2013,26.90,26.85,27.72,27.59,27.46,27.86,27.06,27.32,27.15,26.65,26.80,26.67
2014,25.50,26.35,27.02,27.44,27.56,27.96,27.26,26.75,27.42,26.85,27.10,26.80
2015,26.10,26.35,27.12,27.74,27.96,27.76,27.76,27.38,27.85,27.55,27.30,27.42
2016,27.50,27.45,27.99,28.44,28.25,27.46,27.36,28.05,27.25,27.35,27.30,27.20
2017,27.20,26.62,26.95,27.44,27.66,27.26,27.76,27.25,27.25,27.15,27.10,26.70
2018,26.50,26.35,27.12,27.74,27.46,27.46,27.76,27.95,27.15,27.15,27.40,27.20
2019,27.20,26.98,27.42,28.14,28.22,27.76,27.33,27.75,27.66,26.95,27.30,26.80
2020,27.30,27.15,27.62,28.04,28.16,27.08,26.96,27.56,27.02,26.85,27.00,26.87
2021,26.20,26.35,27.12,27.54,27.70,27.50,27.65,27.05,26.95,27.45,27.00,26.90
