Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1902,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1903,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1904,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1905,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1906,25.80,26.20,25.90,25.10,23.80,22.70,22.00,21.80,22.40,23.00,24.00,24.80
1907,25.30,25.90,25.30,24.20,23.20,21.70,21.50,20.80,21.90,23.10,22.70,23.30
1908,25.30,25.50,25.20,25.20,22.80,21.90,21.70,23.60,22.00,23.80,23.10,25.00
1909,25.60,25.70,25.30,24.30,22.70,22.90,21.60,22.10,21.60,23.50,24.60,25.00
1910,25.20,25.50,25.20,24.90,22.80,21.40,22.70,21.40,23.30,23.10,23.00,25.60
1911,25.90,25.80,25.50,23.90,23.20,22.10,21.30,21.70,21.10,22.20,23.80,26.10
1912,26.10,26.10,25.10,23.90,23.00,21.40,21.20,21.90,22.60,22.80,23.50,24.10
1913,25.10,25.50,25.90,24.40,22.80,21.80,20.80,20.90,21.00,21.80,24.00,24.70
1914,24.30,26.10,25.90,24.80,23.00,21.90,19.60,20.10,21.10,21.90,23.70,25.30
1915,25.90,26.40,26.30,23.70,22.10,22.30,20.10,20.90,22.10,22.20,22.80,24.70
1916,25.10,26.20,25.00,24.60,23.70,22.60,21.80,23.00,22.50,23.30,23.50,24.10
1917,25.90,25.50,24.80,24.50,23.50,22.60,23.20,21.70,21.40,22.10,24.10,25.40
1918,24.80,26.20,23.70,23.60,22.30,22.70,19.90,21.90,20.70,22.00,22.30,24.00
1919,25.20,25.90,25.90,25.40,22.70,20.80,19.80,21.10,22.40,23.00,24.00,24.10
1920,25.80,26.20,25.90,25.10,23.80,21.10,21.70,21.80,22.20,22.30,23.10,25.10
1921,26.00,26.60,26.70,23.40,23.70,21.30,22.20,21.80,22.80,23.60,24.90,25.30
1922,25.70,26.10,25.80,25.40,23.60,22.80,21.50,22.20,22.60,23.30,24.00,25.30
1923,26.20,26.70,25.60,24.50,23.40,21.90,21.70,21.10,21.00,22.50,22.20,23.70
1924,25.90,26.10,25.20,23.70,23.80,22.20,22.30,22.50,23.20,23.40,24.70,25.50
1925,25.50,25.00,25.70,25.40,23.00,21.90,21.20,22.10,21.90,22.10,22.80,24.20
1926,24.60,26.00,24.90,23.50,23.60,21.60,21.30,21.40,22.40,23.00,24.50,25.30
1927,26.20,25.90,26.40,25.50,24.80,23.60,22.00,22.00,22.10,23.80,23.80,24.80
1928,25.70,24.80,25.70,24.40,23.10,20.90,20.80,21.90,22.50,23.20,24.50,25.60
1929,25.60,26.60,25.70,24.90,23.80,21.60,20.90,20.70,21.20,23.10,23.20,24.30
1930,25.70,25.70,25.70,24.30,23.00,20.70,20.90,20.10,21.40,22.70,24.10,25.60
1931,24.90,25.50,25.00,24.30,23.60,21.90,21.20,21.20,23.20,22.30,22.20,23.70
1932,25.70,26.00,25.40,24.40,23.10,21.70,22.50,21.80,21.60,22.50,23.60,25.30
1933,25.60,25.70,24.90,24.80,23.90,22.30,21.50,21.10,22.30,23.30,23.90,24.50
1934,26.20,25.80,25.20,24.40,23.20,22.50,22.30,21.20,22.10,23.10,24.00,24.40
1935,25.50,26.30,24.90,24.10,22.60,22.00,22.70,22.10,22.60,24.00,25.40,24.40
1936,26.10,26.20,26.40,24.70,23.80,21.90,22.30,21.70,21.80,22.80,24.00,25.50
1937,26.30,26.40,25.50,24.90,23.20,22.30,22.50,22.60,22.70,23.50,23.60,25.10
1938,26.50,25.70,25.90,24.80,23.60,23.40,23.40,22.20,22.90,23.60,23.80,25.60
1939,26.20,26.60,25.60,25.50,23.80,22.50,23.40,22.70,21.70,22.60,24.00,24.20
1940,25.20,26.90,26.50,24.50,23.80,21.60,20.30,21.40,21.80,22.10,23.80,24.20
1941,25.90,26.50,25.70,25.30,23.40,21.80,21.20,21.30,21.50,22.20,24.20,25.00
1942,27.10,27.50,26.30,25.50,24.30,23.20,22.10,21.70,22.50,23.20,24.00,24.90
1943,26.00,26.30,25.60,24.80,24.00,21.90,22.20,22.10,22.40,24.50,24.90,23.90
1944,25.30,25.20,25.60,24.40,23.80,22.90,21.20,21.00,23.00,22.30,23.50,25.30
1945,25.50,26.30,26.60,25.30,23.40,22.80,23.20,22.00,21.50,23.00,23.70,25.20
1946,26.30,26.50,25.50,24.90,22.90,22.20,21.70,21.70,21.80,23.30,24.30,25.40
1947,26.50,26.30,26.00,25.10,23.90,23.10,22.50,21.90,22.70,22.90,24.20,24.50
1948,25.80,26.00,25.00,24.60,23.10,22.20,20.20,21.10,21.90,22.90,23.90,24.20
1949,25.70,25.60,25.80,25.80,22.90,22.40,22.20,21.90,22.40,23.50,24.00,24.80
1950,26.30,25.80,25.70,25.30,22.10,23.00,23.00,22.10,22.30,23.70,24.50,25.30
1951,25.70,26.50,25.60,25.00,23.10,22.10,20.70,21.40,21.30,22.00,23.80,25.20
1952,26.10,26.00,25.80,24.70,23.80,23.50,21.80,22.40,22.40,22.90,24.70,25.70
1953,26.70,26.40,26.40,25.70,23.10,22.30,22.10,20.20,21.20,23.10,24.20,25.10
1954,25.50,25.80,25.40,25.10,23.70,22.60,21.90,23.00,22.90,23.90,23.30,25.40
1955,25.80,25.70,25.40,24.70,23.10,23.30,22.70,22.20,22.30,23.10,23.90,24.60
1956,24.90,25.40,25.50,24.30,23.20,22.60,21.90,22.30,21.40,23.90,24.10,24.50
1957,25.80,25.50,25.20,25.10,22.90,23.40,21.80,21.40,22.00,22.40,23.50,25.00
1958,25.20,25.50,25.60,25.40,23.50,21.40,22.10,20.90,21.20,22.20,23.40,23.40
1959,24.80,25.90,25.70,25.60,24.30,23.00,21.60,21.40,21.40,22.90,22.60,24.70
1960,25.50,25.40,25.40,26.00,23.30,21.90,21.90,21.60,22.70,22.40,24.10,25.50
1961,25.80,26.60,25.60,25.10,23.80,22.20,22.10,21.90,22.80,22.80,23.50,24.60
1962,25.20,25.50,25.40,24.60,23.20,22.00,22.00,21.30,22.40,22.50,23.60,24.00
1963,25.60,26.10,25.30,24.50,23.50,22.30,21.40,21.20,21.60,22.20,23.80,24.60
