Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.76,10.40,9.31,7.49,4.58,3.29,2.49,3.31,4.60,6.34,8.10,8.90
1902,10.20,9.81,9.23,7.62,4.37,2.61,1.33,2.91,3.80,6.04,7.47,9.48
1903,10.32,9.99,8.54,7.00,4.81,2.74,2.47,2.63,3.88,6.05,7.64,9.06
1904,10.70,10.41,8.77,7.30,4.08,3.12,1.40,3.13,4.43,6.08,7.83,9.73
1905,10.69,9.70,9.29,6.94,3.97,2.06,1.50,2.21,3.58,5.29,7.30,8.37
1906,9.81,9.86,8.05,5.92,4.06,2.21,1.70,2.94,4.00,6.04,7.46,8.14
1907,9.66,9.97,8.64,6.56,3.99,2.23,2.35,2.70,3.73,5.67,7.23,8.11
1908,9.75,10.51,8.74,5.98,4.06,3.09,2.16,2.50,3.92,5.23,6.36,8.43
1909,9.86,9.59,8.51,6.58,3.63,2.94,2.12,2.44,3.86,5.84,7.08,7.83
1910,8.91,9.90,9.04,6.49,4.17,2.56,2.26,2.73,4.42,6.58,7.86,9.63
1911,9.60,9.72,8.77,6.24,4.06,3.44,2.72,2.52,3.97,6.12,7.54,9.40
1912,10.51,9.51,9.13,7.31,3.98,3.09,3.36,2.72,4.23,6.28,6.71,8.90
1913,10.49,9.54,8.81,6.75,3.51,2.49,1.86,2.41,4.60,5.77,7.31,9.05
1914,9.57,9.82,9.04,6.56,3.98,2.28,2.29,2.72,3.67,5.84,6.58,9.18
1915,9.78,9.70,9.29,5.58,3.51,2.50,2.68,2.78,4.42,6.24,7.32,8.80
1916,10.39,10.19,8.82,6.92,4.57,2.87,2.37,3.22,4.22,6.24,7.47,9.09
1917,9.79,10.32,8.89,7.25,4.58,2.96,2.91,2.87,4.42,6.61,8.11,8.82
1918,9.90,10.48,8.77,6.66,3.68,3.37,2.02,2.56,3.97,6.35,7.01,9.71
1919,10.51,10.37,8.72,6.46,4.37,3.16,2.72,3.39,4.11,6.02,7.16,9.21
1920,10.20,10.17,8.48,7.30,4.19,3.20,2.35,3.58,4.39,5.97,7.63,9.12
1921,10.02,9.81,9.13,7.16,3.71,3.04,2.86,2.83,4.25,6.35,7.76,9.17
1922,9.51,9.71,8.58,6.93,4.70,2.80,2.89,3.01,4.39,6.10,8.90,10.17
1923,10.65,10.67,8.26,5.43,4.65,1.89,0.37,2.11,3.61,4.46,6.50,7.75
1924,10.89,8.90,9.09,5.93,4.37,3.37,1.75,3.24,4.47,7.00,7.19,9.31
1925,9.20,10.06,9.26,6.37,4.37,2.23,2.16,2.82,2.64,5.20,7.90,9.92
1926,9.24,10.45,8.42,5.67,4.45,3.15,2.15,3.14,3.90,4.75,7.80,10.35
1927,9.74,9.69,9.07,7.62,4.32,2.91,2.45,2.52,2.73,5.61,7.56,8.96
1928,9.21,9.02,8.44,6.58,4.61,2.04,2.09,4.05,5.49,6.59,6.95,7.90
1929,9.42,9.93,8.65,7.60,4.46,3.50,3.15,1.86,4.19,6.14,7.06,7.20
1930,9.76,10.05,7.39,7.44,4.24,2.51,1.61,1.96,4.85,5.07,8.46,9.00
1931,10.27,9.70,8.94,6.49,4.52,3.21,1.77,3.63,2.86,5.33,6.21,8.60
1932,9.56,9.71,8.42,5.55,4.47,1.81,0.69,2.51,4.18,6.24,7.27,8.36
1933,9.05,9.27,8.92,6.98,4.38,2.64,3.07,2.98,4.88,5.51,6.03,7.07
1934,10.88,7.69,7.82,6.83,3.96,1.61,2.48,3.75,4.10,7.32,7.23,7.71
1935,8.90,8.57,9.11,5.39,4.57,3.13,0.71,2.56,2.38,4.92,7.06,7.81
1936,9.55,9.99,7.94,6.84,2.32,2.71,3.10,2.64,3.89,5.34,8.29,8.94
1937,9.86,8.37,7.54,6.75,3.67,1.78,0.73,1.81,4.39,5.25,7.00,8.47
1938,7.85,8.50,7.94,6.96,4.70,2.79,2.06,2.03,2.99,6.07,6.80,8.58
1939,9.16,9.11,8.04,6.14,3.13,1.66,2.23,0.88,3.69,5.34,5.66,8.68
1940,9.10,10.79,8.84,5.50,3.73,2.54,3.19,3.51,4.19,6.30,7.76,7.70
1941,10.36,9.51,9.00,4.36,3.59,3.93,3.67,3.36,3.59,5.97,6.62,9.08
1942,9.96,10.80,7.38,6.76,3.81,2.81,2.95,2.73,3.82,5.94,7.96,10.90
1943,9.95,10.24,9.01,8.04,4.57,4.26,3.85,2.72,4.45,6.63,6.76,9.92
1944,9.26,9.71,10.24,7.02,4.57,1.01,2.47,2.51,3.99,6.12,7.46,9.39
1945,10.94,10.62,9.43,6.28,4.48,2.64,2.07,3.43,4.29,6.39,6.56,9.79
1946,10.31,8.91,8.52,7.56,4.00,3.30,2.40,1.42,3.48,5.78,6.17,7.50
1947,7.65,9.41,8.42,6.36,3.46,2.37,3.05,3.66,3.99,7.14,8.86,7.80
1948,9.14,9.11,7.44,7.24,4.18,3.50,0.96,0.73,3.79,5.74,6.46,8.50
1949,9.79,9.22,8.14,6.47,3.68,2.93,2.88,2.71,4.57,6.43,7.68,7.94
1950,8.42,10.34,9.32,6.23,3.03,2.91,2.91,1.05,3.05,5.64,6.48,8.69
1951,8.96,9.57,8.72,8.13,4.15,1.49,2.51,3.77,3.06,5.19,6.82,10.38
