Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1902,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1903,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1904,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1905,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1906,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1907,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1908,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1909,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1910,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1911,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1912,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1913,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1914,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1915,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1916,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1917,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1918,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1919,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1920,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1921,27.10,27.30,27.30,27.40,27.50,27.40,27.30,27.50,27.50,27.50,27.30,27.20
1922,27.00,27.30,27.50,27.40,27.30,27.40,27.30,27.60,27.50,27.50,27.30,27.30
1923,27.20,27.30,27.30,27.40,27.50,27.40,27.20,27.30,27.40,27.40,27.30,27.00
1924,26.90,27.30,27.20,27.30,27.30,27.30,27.20,27.50,27.60,27.50,27.40,27.30
1925,27.40,27.50,27.40,27.50,27.60,27.50,27.40,27.60,27.70,27.50,27.40,27.20
1926,27.10,27.40,27.30,27.40,27.60,27.50,27.50,27.50,27.50,27.50,27.40,27.30
1927,27.40,27.70,27.70,27.70,27.80,27.70,27.60,27.80,27.80,27.80,27.70,27.40
1928,27.20,27.50,27.70,27.70,27.60,27.50,27.70,27.80,27.70,27.90,27.80,27.60
1929,27.60,27.50,27.60,27.60,27.60,27.50,27.50,27.60,27.80,27.90,27.50,27.30
1930,27.10,27.40,27.50,27.50,27.70,27.60,27.50,27.50,27.40,27.60,27.40,27.20
1931,27.30,27.50,27.40,27.50,27.50,27.50,27.50,27.70,27.80,27.70,27.60,27.50
1932,27.40,27.60,27.50,27.40,27.50,27.50,27.60,27.70,27.60,27.80,27.70,27.60
1933,27.40,27.70,27.70,27.60,27.60,27.50,27.40,27.50,27.60,27.70,27.60,27.20
1934,27.20,27.30,27.40,27.30,27.70,27.60,27.50,27.70,27.80,27.90,27.70,27.60
1935,27.30,27.70,27.70,27.60,27.60,27.50,27.50,27.60,27.60,27.70,27.40,27.30
1936,27.20,27.30,27.40,27.40,27.50,27.50,27.40,27.50,27.50,27.60,27.30,27.20
1937,27.40,27.30,27.40,27.40,27.50,27.40,27.50,27.60,27.50,27.50,27.40,27.30
1938,27.30,27.50,27.50,27.40,27.40,27.40,27.30,27.40,27.40,27.40,27.20,27.30
1939,27.30,27.40,27.50,27.40,27.30,27.30,27.30,27.40,27.60,27.60,27.40,26.90
1940,27.10,27.10,27.20,27.30,27.50,27.40,27.40,27.50,27.40,27.40,27.30,27.20
1941,27.30,27.30,27.30,27.30,27.60,27.30,27.30,27.50,27.30,27.50,27.30,27.20
1942,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1943,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1944,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1945,27.20,27.40,27.40,27.40,27.50,27.40,27.40,27.50,27.50,27.50,27.40,27.20
1946,27.10,27.10,27.70,27.70,28.40,27.40,27.90,27.30,27.40,27.80,28.10,27.80
1947,27.60,27.90,27.40,28.30,27.90,27.80,27.80,27.50,27.30,27.40,27.70,27.60
1948,27.40,27.20,26.90,27.60,27.70,27.80,27.90,27.70,27.80,27.90,27.30,26.90
1949,27.10,27.30,27.40,27.60,27.60,27.50,27.80,27.50,27.50,27.10,27.10,26.90
1950,27.00,27.00,27.50,27.20,27.70,27.50,27.20,27.50,27.40,27.00,27.90,27.60
1951,27.70,27.70,27.00,27.80,27.90,27.60,27.70,27.70,28.20,28.20,28.30,28.00
1952,27.60,27.90,27.90,28.40,27.90,27.90,28.10,28.30,28.30,28.10,27.90,27.60
1953,27.60,27.70,27.70,27.90,27.40,28.00,28.10,27.90,28.00,28.50,28.00,27.50
1954,27.60,27.90,27.90,27.80,27.60,27.90,27.90,27.70,27.90,27.70,27.20,27.30
1955,27.40,27.10,26.70,26.80,26.90,26.90,27.30,27.30,27.30,27.00,27.00,26.90
