Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.90,21.90,21.80,20.80,18.90,17.00,15.80,15.80,16.80,18.00,18.60,20.10
1902,22.00,22.30,21.60,19.70,17.80,16.70,15.60,15.30,15.80,17.30,18.60,20.90
1903,21.90,22.50,21.80,20.10,18.50,17.10,16.20,15.90,16.30,17.90,18.90,20.50
1904,21.60,21.90,21.70,20.10,17.90,16.50,15.80,15.70,15.80,16.80,18.50,19.90
1905,21.40,22.00,21.30,19.50,18.30,17.00,15.50,15.80,16.10,17.10,18.60,21.10
1906,21.90,21.60,21.50,20.10,18.20,16.60,15.70,15.80,16.50,17.50,19.30,20.70
1907,22.30,22.10,22.60,20.30,18.40,17.30,15.90,15.60,15.90,17.70,19.30,20.90
1908,21.80,22.10,21.80,20.10,18.70,17.00,15.70,16.00,16.50,16.90,18.90,20.20
1909,22.10,22.50,21.50,20.30,18.40,17.30,16.60,16.10,16.70,17.60,19.40,20.80
1910,22.40,23.00,22.70,20.60,18.80,17.50,16.50,16.10,16.60,18.20,19.50,20.90
1911,21.80,22.00,21.80,20.20,18.40,17.00,15.80,15.80,16.10,17.30,18.80,20.30
1912,21.60,22.00,21.60,20.00,17.90,16.90,15.70,15.60,16.10,17.30,19.10,20.50
1913,21.90,22.20,21.90,20.00,18.20,16.70,15.80,15.70,16.20,17.50,18.80,20.00
1914,22.10,21.90,21.80,20.20,18.20,16.70,15.70,15.70,16.20,17.30,19.20,20.50
1915,22.90,23.70,21.80,20.50,18.60,17.30,16.90,16.70,16.50,18.60,20.20,21.30
1916,21.90,23.20,22.60,21.20,18.40,17.90,16.60,16.20,16.90,18.70,19.80,21.40
1917,22.30,22.00,21.10,20.50,18.30,16.80,16.20,16.00,17.40,18.60,19.50,20.40
1918,22.00,22.00,21.30,20.10,17.90,17.00,15.00,15.40,16.10,18.00,19.30,19.80
1919,21.60,22.40,21.40,19.60,18.30,16.50,15.70,15.50,16.20,17.90,18.40,20.10
1920,21.90,22.00,21.40,19.70,17.70,16.90,16.40,15.50,16.10,18.30,20.00,20.80
1921,22.10,22.10,21.60,20.10,18.50,17.40,16.70,15.90,16.70,17.50,18.90,21.00
1922,22.20,21.60,21.60,19.90,18.40,17.30,16.20,16.30,16.00,18.20,19.40,21.10
1923,21.60,22.00,21.60,19.70,18.40,17.00,15.60,15.40,16.10,17.20,18.70,20.90
1924,21.60,22.00,21.70,20.20,18.10,16.90,15.80,15.80,16.10,17.40,18.80,19.90
1925,21.50,21.80,21.30,19.70,18.20,16.90,15.50,15.50,15.70,17.20,18.70,20.40
1926,21.70,22.10,21.90,20.20,18.40,16.90,15.70,15.70,15.80,17.50,18.60,20.00
1927,22.40,22.20,21.70,20.60,18.50,16.00,16.40,16.30,16.30,16.90,18.80,20.20
1928,21.50,22.20,21.90,20.30,18.10,16.80,15.90,15.80,16.40,17.50,18.90,20.10
1929,23.20,22.90,22.60,20.00,17.70,17.60,15.40,15.70,15.70,18.00,19.10,21.10
