Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1902,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1903,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1904,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1905,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1906,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1907,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1908,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1909,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1910,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1911,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1912,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1913,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1914,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1915,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1916,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1917,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1918,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1919,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1920,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1921,27.20,27.40,27.30,27.50,27.90,27.70,27.30,27.60,27.10,27.80,27.40,27.60
1922,27.00,27.50,28.00,27.80,27.20,27.90,27.20,28.00,27.00,27.80,27.30,28.20
1923,27.80,27.50,27.30,27.50,28.00,27.70,27.00,26.80,26.80,27.40,27.30,27.00
1924,26.30,27.40,26.90,27.40,27.10,27.20,26.90,27.70,27.40,27.70,28.00,28.20
1925,28.50,28.20,27.60,28.10,28.40,28.40,27.80,28.10,28.10,27.80,27.80,27.80
1926,27.30,27.70,27.10,27.50,28.30,28.40,28.00,27.60,27.20,27.90,27.80,28.00
1927,28.40,29.00,29.00,29.00,29.00,28.90,28.40,29.00,28.60,29.30,29.20,28.50
1928,27.60,28.40,29.00,28.80,28.40,28.30,28.90,28.90,28.00,29.70,29.50,29.60
1929,29.30,28.30,28.60,28.40,28.10,28.30,28.10,27.90,28.60,29.50,28.40,28.10
1930,27.40,27.90,28.00,28.30,28.60,28.70,28.20,27.60,26.80,28.40,27.80,27.70
1931,28.00,28.20,27.60,28.10,27.80,28.10,28.20,28.40,28.30,28.70,28.70,28.90
1932,28.40,28.60,28.20,27.90,28.00,28.10,28.40,28.60,27.50,29.10,29.10,29.30
1933,28.50,28.90,28.70,28.40,28.40,28.30,27.70,27.60,27.50,28.70,28.70,27.80
1934,27.70,27.20,27.70,27.10,28.80,28.70,28.30,28.50,28.40,29.30,29.10,29.40
1935,28.30,29.00,28.90,28.50,28.50,28.20,28.20,28.30,27.80,28.70,28.10,28.20
1936,27.70,27.50,27.50,27.60,28.00,28.10,27.90,27.80,27.30,28.30,27.40,27.70
1937,28.40,27.50,27.50,27.90,28.00,28.00,28.20,28.10,27.30,27.90,28.00,28.40
1938,28.10,28.40,28.10,27.80,27.40,27.60,27.40,27.30,26.70,27.30,27.20,28.00
1939,28.00,27.60,28.00,27.80,27.10,27.50,27.30,27.20,27.60,28.20,27.70,26.60
1940,27.10,26.70,26.90,27.10,27.70,28.00,27.60,27.50,26.70,27.40,27.30,27.70
1941,28.00,27.50,27.30,27.40,28.10,27.50,27.10,27.50,26.50,27.70,27.50,27.80
1942,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
1943,27.70,27.80,27.70,27.70,27.90,27.80,27.70,27.70,27.20,27.90,27.90,27.80
