Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1902,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1903,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1904,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1905,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1906,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1907,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1908,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1909,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1910,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1911,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1912,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1913,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1914,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1915,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1916,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1917,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1918,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1919,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1920,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1921,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1922,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1923,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1924,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1925,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1926,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1927,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1928,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1929,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1930,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1931,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.93,27.93,28.00,28.03
1932,28.03,28.00,28.00,28.10,28.23,28.03,27.83,27.73,27.33,28.23,29.10,28.63
1933,28.13,28.30,27.90,27.90,28.23,28.13,27.83,28.23,28.13,28.33,28.60,28.23
1934,28.25,28.40,27.50,28.20,28.03,27.93,28.03,28.23,28.33,28.33,29.03,28.13
1935,27.53,27.90,28.50,28.20,27.03,27.53,27.43,28.03,29.03,28.70,28.93,28.63
1936,29.13,28.80,29.00,28.90,29.33,27.33,27.63,27.53,27.43,28.33,28.53,28.73
1937,28.85,28.00,28.60,27.90,28.53,28.33,28.05,28.13,28.03,28.63,28.50,27.73
1938,27.93,28.03,27.80,27.93,28.43,27.93,28.33,28.43,28.53,27.93,28.30,28.23
1939,28.03,28.00,28.00,27.60,28.03,27.43,26.93,27.23,27.30,28.43,28.80,28.73
1940,28.03,28.93,28.30,28.33,29.03,28.13,27.63,28.03,28.23,28.33,28.63,28.33
1941,28.73,28.10,28.73,28.80,28.63,28.23,27.73,28.03,28.63,27.43,28.50,28.83
1942,28.13,27.80,28.30,28.60,28.43,28.23,27.23,27.83,28.03,28.43,28.30,27.73
1943,28.03,28.00,27.90,27.90,28.13,27.63,27.53,28.03,28.63,28.83,28.83,28.43
1944,27.73,27.60,28.10,28.20,28.23,27.73,27.33,27.53,28.33,27.73,27.50,27.83
1945,28.13,27.90,27.90,27.70,27.73,27.63,27.63,27.73,28.23,28.45,27.90,28.03
1946,28.23,28.30,27.80,28.10,28.33,28.20,27.45,28.00,28.00,28.03,28.20,28.73
1947,28.40,28.53,28.50,28.90,28.43,28.53,28.63,28.23,27.93,27.80,28.00,27.93
1948,27.83,27.70,28.20,27.80,28.33,27.83,27.30,27.33,27.70,27.93,28.30,28.63
1949,28.73,28.43,28.20,28.60,28.53,27.80,27.40,27.53,27.70,27.53,28.40,27.93
1950,28.13,28.20,27.77,27.80,28.03,27.95,27.45,28.03,28.03,28.23,28.40,27.83
1951,28.23,28.10,28.17,28.30,28.33,28.25,27.43,27.85,27.93,27.95,28.20,28.43
1952,28.33,28.50,28.37,27.90,28.43,28.05,27.93,27.95,28.13,28.05,28.60,28.43
1953,28.93,28.50,28.20,28.80,28.10,27.93,27.70,27.13,27.43,27.83,28.30,28.15
1954,28.23,27.90,27.70,28.00,28.13,28.03,27.63,27.73,27.95,27.63,27.80,27.63
1955,27.55,27.50,27.20,27.50,27.73,27.73,27.73,27.73,27.95,27.93,27.90,27.63
1956,27.93,27.50,27.80,28.10,28.40,27.75,27.63,28.13,28.10,28.35,28.30,28.33
1957,28.13,27.80,28.07,28.20,28.53,28.23,27.93,28.13,28.35,28.43,28.20,28.63
1958,28.73,29.10,28.77,28.90,28.63,28.23,27.83,27.83,28.23,28.43,28.50,28.43
1959,28.35,28.70,28.60,28.80,28.90,28.43,28.00,28.13,28.23,28.53,27.80,27.90
1960,28.25,28.30,28.00,28.30,28.63,28.25,28.03,27.95,28.45,28.03,28.53,28.33
1961,28.13,28.00,27.47,28.30,28.63,28.23,27.93,27.93,28.13,27.63,27.70,28.03
1962,28.13,28.10,28.20,28.33,28.53,28.03,27.80,27.65,28.13,27.73,28.00,27.93
1963,27.93,27.90,27.90,28.10,28.23,28.15,28.00,27.93,28.25,28.13,27.90,28.45
1964,28.40,28.30,28.40,28.17,27.93,27.83,27.53,27.93,27.73,27.73,27.70,27.13
1965,27.53,28.00,27.70,27.57,27.83,27.63,27.93,27.33,27.53,27.63,27.63,28.13
1966,28.43,28.10,28.27,28.17,28.23,27.93,27.73,27.43,28.23,27.83,27.70,27.73
1967,27.93,27.60,27.80,27.40,27.93,27.63,27.53,27.53,27.63,27.63,27.50,28.03
1968,28.40,27.97,27.90,27.50,27.93,27.93,28.03,27.63,27.63,28.05,28.00,28.43
1969,28.43,28.30,28.70,28.30,28.33,28.53,27.73,27.50,27.83,28.10,28.83,27.90
1970,28.43,27.93,28.10,28.10,28.53,28.23,28.03,27.73,27.53,27.33,27.33,27.03
1971,27.33,27.20,27.20,28.00,28.80,27.93,27.23,27.83,27.63,27.53,27.80,27.63
1972,27.53,27.77,27.90,27.90,28.20,28.23,27.83,27.83,27.83,27.93,28.10,28.63
1973,28.53,28.30,28.60,28.30,28.23,28.03,27.73,28.13,28.03,27.43,27.30,27.53
1974,27.43,27.40,27.50,27.80,27.73,27.93,28.00,27.73,28.23,27.93,27.90,27.83
1975,28.03,27.90,28.00,28.00,28.03,27.93,27.90,27.63,27.93,27.85,27.70,27.53
1976,27.43,27.40,27.50,28.00,28.03,27.83,27.73,27.93,28.13,28.43,28.60,27.93
1977,28.25,28.40,27.90,28.27,27.93,27.93,27.63,27.63,27.60,27.83,27.87,28.83
1978,28.13,28.00,28.00,28.03,28.23,27.83,28.03,27.63,27.85,27.95,27.70,28.10
1979,27.93,28.50,28.30,28.23,28.43,28.25,27.73,27.83,28.03,28.33,28.00,27.83
1980,28.13,28.50,28.40,28.47,28.03,28.03,27.80,27.43,27.83,27.93,27.80,28.43
1981,28.73,28.00,28.17,28.10,28.63,28.33,27.83,27.73,28.10,27.93,28.27,28.13
1982,28.10,27.90,28.43,28.63,28.73,28.63,28.43,27.70,27.43,27.93,27.70,28.10
1983,27.95,27.93,27.90,28.30,28.43,28.13,27.83,27.63,28.13,28.13,28.10,27.93
1984,27.93,28.10,27.80,28.40,28.53,28.03,27.75,27.73,27.73,27.63,27.97,27.93
1985,27.93,28.20,27.70,28.30,28.23,28.13,27.93,28.13,28.10,28.33,28.50,28.53
1986,28.23,28.17,28.40,28.00,28.13,28.20,27.75,27.63,28.40,28.33,28.50,28.33
