Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.10,26.70,26.70,27.30,26.90,26.10,26.10,25.60,26.20,25.90,26.70,27.30
1902,26.80,27.00,26.90,26.80,26.80,26.00,26.00,25.50,25.90,26.30,27.20,27.50
1903,26.10,26.70,27.00,26.70,26.60,26.60,25.80,26.00,25.70,26.10,26.20,26.50
1904,25.70,26.10,26.00,26.20,26.20,26.10,25.30,25.30,25.80,26.30,26.90,27.30
1905,26.80,27.10,26.80,26.60,26.00,25.70,25.40,25.10,25.50,26.10,26.40,26.60
1906,27.60,27.20,27.10,27.20,26.60,26.20,25.70,25.80,26.20,26.20,26.30,26.90
1907,26.40,26.60,26.20,26.30,26.00,26.80,25.80,25.00,25.80,26.30,26.30,26.80
1908,26.40,26.30,26.20,26.50,26.40,26.80,25.10,26.10,25.50,26.00,26.20,26.90
1909,25.80,26.20,26.20,25.80,25.90,26.00,25.30,26.10,26.00,26.10,26.20,26.30
1910,26.20,26.30,26.00,26.20,26.10,25.60,25.90,26.00,26.10,25.60,26.30,26.60
1911,26.40,27.10,26.50,26.80,26.30,26.30,25.70,26.30,26.20,26.50,26.80,28.10
1912,28.10,27.40,27.50,27.10,27.00,26.50,26.00,26.10,26.40,26.40,27.00,27.40
1913,26.90,26.60,27.10,27.10,26.70,26.90,26.40,26.40,26.90,26.30,26.90,27.00
1914,27.20,27.70,27.40,27.50,27.70,27.10,26.00,26.30,26.40,26.50,26.70,27.30
1915,27.10,27.00,27.30,27.00,26.60,26.30,25.10,25.60,26.30,26.40,26.30,26.60
1916,26.50,26.50,26.30,26.20,26.00,26.00,26.00,26.30,26.10,26.00,26.10,26.60
1917,26.00,26.00,27.20,25.60,25.80,25.90,25.90,25.30,25.80,26.60,26.00,27.30
1918,26.10,26.00,26.20,26.10,26.50,26.60,25.60,25.70,26.10,26.50,27.10,27.10
1919,26.70,27.20,27.20,27.30,26.70,26.50,26.20,25.90,27.10,27.10,27.60,27.90
1920,27.70,27.20,27.00,27.30,27.30,26.50,26.70,26.00,27.10,26.30,26.80,27.00
1921,26.90,27.50,27.30,26.80,26.00,26.20,26.10,26.60,26.60,26.90,27.20,27.00
1922,27.10,26.90,27.30,27.50,27.00,27.10,26.00,26.70,26.90,26.40,26.80,27.20
1923,27.50,27.40,26.80,26.80,26.70,26.20,26.30,26.00,25.90,26.00,26.10,26.70
1924,26.80,26.80,27.30,26.80,27.40,27.00,26.60,26.50,26.50,27.00,26.90,26.90
1925,26.80,27.20,26.70,27.20,26.30,26.40,25.90,26.40,26.60,26.60,26.80,27.00
1926,27.40,27.50,27.10,26.90,27.10,26.80,26.40,26.50,26.90,26.50,26.90,27.10
1927,26.90,26.50,26.80,27.10,27.20,27.10,26.80,27.00,26.90,26.90,27.30,27.50
1928,27.20,27.40,27.50,27.30,26.90,26.20,25.80,26.20,26.60,26.50,26.90,27.60
1929,27.00,26.80,26.60,27.40,26.80,26.70,26.20,26.00,26.20,26.60,27.20,27.30
1930,27.80,27.00,27.20,27.00,27.30,26.20,26.00,25.90,26.00,26.60,27.20,27.10
1931,27.10,27.10,27.10,27.00,26.70,26.20,26.30,26.30,26.50,26.10,26.50,26.60
1932,26.90,26.90,26.80,26.70,27.40,26.20,26.60,26.20,26.20,26.70,27.40,27.60
1933,27.00,27.30,26.80,26.90,27.00,26.80,26.00,26.20,26.40,26.50,27.10,26.90
1934,27.00,27.20,26.60,26.90,26.70,26.70,26.40,26.20,26.60,26.60,27.40,27.10
1935,26.60,27.20,27.30,27.10,26.30,26.50,26.40,26.20,27.20,27.30,27.40,27.30
1936,27.60,27.60,27.50,27.60,27.50,26.20,26.20,25.70,26.10,26.70,27.00,27.50
1937,27.50,27.20,27.10,27.10,26.90,26.80,26.50,26.30,26.40,26.80,27.10,27.10
1938,27.10,27.00,26.80,26.90,26.80,26.70,26.90,26.60,26.80,26.50,26.80,27.30
1939,26.70,27.00,26.70,26.80,26.80,26.20,25.90,26.10,26.00,26.70,27.30,27.30
1940,27.30,27.80,27.40,27.30,27.50,26.90,25.80,26.20,26.60,26.70,27.20,27.40
1941,27.60,27.50,27.50,27.90,27.40,27.20,26.20,26.30,26.80,26.20,27.30,27.70
1942,27.40,27.40,27.30,27.30,27.20,27.00,26.00,26.40,26.50,26.60,26.80,27.00
1943,27.10,27.10,27.20,27.20,26.90,26.30,26.10,26.30,26.80,27.00,27.50,27.30
1944,27.00,26.90,27.30,27.20,27.10,26.70,26.00,26.10,26.80,26.40,26.50,27.00
1945,27.20,27.30,27.40,27.10,26.40,26.40,26.40,26.00,26.50,26.80,26.60,27.40
1946,27.10,27.00,27.00,27.30,27.00,27.00,25.80,26.40,26.60,26.90,27.20,27.70
1947,27.70,27.60,27.40,27.80,27.10,26.90,27.00,26.40,26.80,26.60,26.80,27.20
1948,27.30,26.80,27.10,27.10,27.10,26.80,26.10,26.10,26.50,26.60,27.10,27.10
1949,27.50,27.20,27.10,27.70,27.20,26.80,26.20,26.30,26.70,26.30,27.20,27.00
1950,27.10,27.30,26.60,27.10,26.80,26.90,26.10,26.50,26.50,26.90,27.40,27.10
1951,27.30,27.40,27.30,27.50,27.00,27.00,25.80,26.10,26.30,26.40,27.10,27.70
1952,27.70,27.70,27.50,27.00,27.40,27.20,26.70,26.40,26.60,26.50,27.50,27.80
1953,27.80,27.60,27.50,27.90,27.10,26.80,26.50,25.60,26.00,26.80,27.30,27.50
1954,27.50,27.10,26.80,27.20,27.20,26.90,26.40,26.30,26.90,26.50,26.80,27.20
1955,27.00,26.90,26.40,26.80,26.70,26.60,26.40,26.30,26.70,26.70,27.00,27.00
1956,26.80,26.60,26.70,27.10,27.20,26.50,26.10,26.40,26.60,27.00,27.20,27.50
1957,27.20,27.00,27.00,27.30,27.20,26.90,26.20,26.40,26.90,26.90,27.20,27.60
1958,27.80,28.00,27.80,27.80,27.40,26.90,26.20,26.30,26.70,27.00,27.20,27.40
1959,27.50,27.80,27.60,27.90,27.60,27.20,26.70,26.60,26.70,27.20,27.00,27.00
1960,27.40,27.20,27.10,27.50,27.40,27.00,26.30,26.30,27.00,26.60,27.60,27.50
1961,27.50,27.40,26.70,27.50,27.40,27.00,26.40,26.30,26.80,26.20,26.60,27.20
1962,27.10,27.20,27.30,27.50,27.20,26.70,26.30,26.10,26.50,26.50,26.90,27.10
1963,27.10,27.20,27.10,27.30,27.00,27.00,26.50,26.30,26.60,26.50,26.90,27.60
1964,27.50,27.50,27.40,27.30,26.80,26.70,26.00,26.40,26.40,26.40,26.80,26.60
1965,26.80,27.00,26.90,26.80,26.70,26.30,26.10,25.60,26.10,26.10,26.50,27.30
1966,27.50,27.20,27.30,27.30,27.00,26.60,26.20,25.70,26.50,26.40,26.80,27.00
1967,27.00,26.90,27.20,26.80,26.60,26.20,25.90,25.90,26.60,26.20,26.50,27.10
1968,27.30,27.10,26.90,26.50,26.70,27.00,26.50,25.80,26.30,26.60,27.10,27.70
1969,27.60,27.70,27.80,27.40,26.90,27.20,26.00,25.80,26.20,26.70,27.40,27.30
1970,27.50,27.50,27.10,27.30,27.50,27.20,26.60,26.10,26.10,26.30,26.50,26.20
1971,26.60,26.50,26.50,26.90,26.90,26.60,25.90,26.10,26.20,26.40,27.00,27.00
1972,26.50,26.80,26.90,27.10,26.90,26.90,26.10,26.20,26.50,26.50,26.90,27.80
1973,27.60,27.80,27.80,27.50,27.10,26.90,26.40,26.40,26.60,26.10,26.50,26.90
1974,26.80,26.50,26.50,26.60,26.40,26.60,26.40,25.90,26.80,26.60,26.90,27.10
1975,27.10,26.90,27.10,27.00,26.90,26.60,26.50,26.20,26.60,26.70,26.80,26.80
1976,26.60,26.60,26.70,27.10,26.70,26.60,26.20,26.20,26.30,27.00,27.40,27.10
1977,27.50,27.60,27.10,27.30,26.60,26.80,26.30,26.00,25.90,26.40,26.90,27.90
